"","VIP","Coefficient"
"discount_rate",0.0372579196658676,1052.81453615841
"infection_risk",1.93313490978357,-54625.5011451946
"plants_per_ha",0.674491542594115,19059.4243298436
"total_failure_risk",0.0133870142106506,-378.283148472293
"fungus_possibility_N",0.0701491083282431,1982.2363032841
"fungus_possibility_R",1.60164298276179,-45258.3780605578
"disease_expansion_factor_N",0.00796354504549041,225.029632852137
"disease_expansion_factor_R",0.203988349890809,-5764.19461682283
"detection_factor_N",0.0734500071518551,2075.51135178528
"detection_factor_R",0.803770362585404,-22712.5166689987
"fungus_fight_effect_N",0.0393339887998952,1111.47899681472
"fungus_fight_effect_R",0.768770100923228,21723.4978354795
"var_CV",0.133992533027595,3786.28994246754
"number_yearly_prophy_application_N",0.124230324051388,3510.43461808714
"number_yearly_prophy_application_R",1.04286120526356,29468.6189122629
"effect_one_prophy_application",0.237260789887691,6704.38958198261
"effect_two_prophy_application",0.0323815203283652,915.019829618771
"effect_three_prophy_application",0.0887393800697554,2507.55034379209
"effect_four_prophy_application",0.117677673504715,-3325.27329378958
"effect_five_prophy_application",0.0740516899114281,-2092.51338413479
"effect_six_prophy_application",0.0696487273653978,-1968.0968033865
"effect_seven_prophy_application",0.0604978324427123,1709.51566735255
"effect_eight_prophy_application",0.0485758636037736,1372.63099408506
"value_of_saleable_Calluna",4.67838412188715,132199.297583643
"value_not_saleable_Calluna",0.203318289014683,-5745.26039191649
"value_sorted_out_Calluna",1.65256270236848,-46697.2404946338
"value_of_one_new_plant",1.38282440838794,-39075.1188247153
"fertilizer_adjustment",0.084966232785844,2400.93074873167
"costs_normal_fertilizer",0.533307131778726,-15069.9101186791
"costs_water",0.50109070092775,-14159.555299966
"costs_staff",0.964973888758271,-27267.7204258597
"costs_more_staff",0.733589094584013,-20729.3716147249
"threshold_big_area_more_staff",0.0503243495628817,-1422.03878310084
"costs_monitoring_per_ha_month",0.316910436204046,-8955.08704962884
"additional_costs_more_monitoring_per_ha",0.0126439859244267,-357.287049185784
"yearly_costs_of_direct_fungus_fight_N",0.0705565071819536,-1993.7483640499
"yearly_costs_of_direct_fungus_fight_R",0.205415584653743,-5804.52465989565
"cost_one_prophy_application",0.0113786731729412,-321.532512445748
